Nodes,Cores,Memory,CPU model,GPUs,GPU type,GPU memory,Misc. features,Node list
36,2x32,1005GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node2804;node3002-3008;node3202-3208;node3302;node3402-3408;node3500-3512
1,2x32,1005GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2906
2,2x32,1006GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node2643-2644
3,2x32,1006GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2640-2642
4,2x48,1006GB,AMD EPYC 7643 48-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3908-3911
1,2x24,1007GB,INTELR XEONR GOLD 6542Y,4,NVIDIA H100 80GB HBM3,79GB,(null),node3614
1,2x32,1007GB,AMD EPYC 7513 32-Core Processor,6,NVIDIA A100 80GB PCIe,80GB,(null),node3903
11,2x32,1007GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node4102-4108;node4302;node4502-4504
8,2x48,1007GB,AMD EPYC 7643 48-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3807-3808;node3810-3811;node3904-3907
2,2x64,1007GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3805;node3809
2,2x64,1007GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100-SXM4-80GB,80GB,(null),node4000-4001
16,,1007GB,,4,NVIDIA L40S,44GB,(null),node4200-4212;node4303-4305
11,2x60,2011GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2433-2434;node3000-3001;node3100-3101;node3200-3201;node3300-3301;node3400
8,2x32,2014GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node1702-1703;node1802-1803;node2702-2703;node2802-2803
2,2x64,2015GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3804;node3806
4,2x20,502GB,IntelR XeonR Silver 4316 CPU @ 2.30GHz,4,NVIDIA A100 80GB PCIe,80GB,(null),node2414-2417
14,2x64,502GB,AMD EPYC 7763 64-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node1917-1918;node2100-2104;node2119;node2300-2304;node2319
